Timestamp,Year,What,Who,URL,Tags,Type,Additional Comments
3/14/2024 21:05,2024,Official NICAR 2024 Tipsheets and Audio,IRE,https://www.ire.org/training/conferences/nicar-2024/nicar24-tipsheets-audio/,#IRE #INCAR24,"Presentation, Workshop, Repo or Tip Sheet",Official list from IRE
3/14/2024 21:07,2024,Tilemaker starter kit,Chris Amico,https://github.com/eyeseast/tilemaker-map-template,#GIS #maps #mapping,"Tool, Software or Resource","tilemaker will build vector tiles from OSM extracts. It needs a config and processing script, and it can use landcover and coastline shapefiles. This is a workflow that automates gathering all of that."
3/14/2024 21:09,2024,How to make self-hosted maps that work everywhere and cost next to nothing,Chris Amico,https://www.muckrock.com/news/archives/2024/feb/13/release-notes-how-to-make-self-hosted-maps-that-work-everywhere-cost-next-to-nothing-and-might-even-work-in-airplane-mode/,#GIS #maps #mapping,"Presentation, Workshop, Repo or Tip Sheet",Codespace to try everything out yourself https://github.com/eyeseast/self-hosted-maps-codespace
3/14/2024 21:11,2024,Beginning Python,Mindy McAdams,https://python-adv-web-apps.readthedocs.io/en/latest/learn_python.html,#python,"Presentation, Workshop, Repo or Tip Sheet",
3/14/2024 21:13,2024,Web Scraping With Python,Cody Winchester,https://github.com/cjwinchester/nicar24-scraping,#python #scraping #webscraping,"Presentation, Workshop, Repo or Tip Sheet",
3/14/2024 21:15,2024,AI 202: Cooking with generative AI,"Andrew Ford, Pri Bengani, Jeff Kao and Jonathan Soma",https://docs.google.com/presentation/d/1EZjK4u-K9GLI0B84WoYZq-U6arY9JGR0Llgp8NW0i9U/edit#slide=id.p,#genai,"Presentation, Workshop, Repo or Tip Sheet",Slides are at the above URL. Add in the audio recording for a decent re-creation of the presentation https://resources.ire.org/audio/20240307-30507.mp3
3/14/2024 21:18,2024,Text Analysis in Different Languages for Investigations,"Lam Thuy Vo, Fernanda Aguirre, Chris Amico, Josephine Lukito",https://docs.google.com/presentation/d/1nab_nANLJBM4UATSANQPMiTy7bT4AukvO6p3ug-Vdfw/edit#slide=id.p,#TextAnalysis,"Presentation, Workshop, Repo or Tip Sheet",Audio recording at https://resources.ire.org/audio/20240307-30505.mp3
3/14/2024 21:20,2024,Uncovering shadow campaigns in 2024 elections,"Michael Beckel, Carrie Levine, Anna Massoglia",https://docs.google.com/document/d/1FGJXIxMBnyHkayiw6T2snowUgAMcOAMIfX3p5PAlVVA/edit,#TrackDarkMoney #CampaignFinance #politics,"Presentation, Workshop, Repo or Tip Sheet",Audio recording at https://resources.ire.org/audio/20240307-30519.mp3
3/14/2024 21:22,2024,Writing with Numbers,MaryJo Webster,https://docs.google.com/presentation/d/1pEqB0jehdAdK7egoTMvFHKuQL9BL9FTBRJi1OsWK9AA/edit#slide=id.p,#data,"Presentation, Workshop, Repo or Tip Sheet","In addition to the slides, there's a tip sheet at https://resources.ire.org/tipsheets/20240307-30355.pdf"
3/14/2024 21:23,2024,PDF Next Steps: Extracting data using command-line and other tools,Chad Day,https://github.com/chadday/nicar_ocr,#PDF #CommandLine,"Presentation, Workshop, Repo or Tip Sheet",
3/14/2024 21:24,2024,Getting Hands-On With AI Tools For Journalists,Jeremy Caplan,https://docs.google.com/presentation/d/1hnR58nVtoQS9zD9SU-EuLfN46s78gIScn-Bo06U0CeY/edit#slide=id.p,#GenAI,"Presentation, Workshop, Repo or Tip Sheet",Also a tipsheet at https://docs.google.com/document/d/11ynStPbTEdh6_s19DKt9AJYmZarPII9NgDUb3I3vDm0/edit
3/14/2024 21:24,2024,Introduction to R,Liz Lucas,https://github.com/ireapps/nicar24-intro-to-R,#rstats,"Presentation, Workshop, Repo or Tip Sheet",
3/14/2024 21:25,2024,Using Python for Data Analysis,Sandra Fish,https://github.com/ireapps/teaching-guide-intro-to-pandas,#python,"Presentation, Workshop, Repo or Tip Sheet",
3/14/2024 21:27,2024,"Backgrounding Local Elections: The questions, documents, and data the public needs","Elizabeth Clemons, Kelly Kauffman, Noah Pransky, Albert Serna",https://resources.ire.org/tipsheets/20240307-30386.pdf,#elections #politics,"Presentation, Workshop, Repo or Tip Sheet",Audio recording at https://resources.ire.org/audio/20240307-30504.mp3
3/14/2024 21:28,2024,"AI 101: AI-driven tools, tips and tricks to empower your data journalism","Darla Cameron, Jeff Hargarten, June Kim, Mike Reilley",https://resources.ire.org/tipsheets/20240307-30382.pdf,#GenAI,"Presentation, Workshop, Repo or Tip Sheet",Audio recording at https://resources.ire.org/audio/20240307-30510.mp3
3/14/2024 21:30,2024,First Visual Story: Launch a data-driven website,"James Thomas, Ben Welsh, Aida Ylanan",https://palewi.re/docs/first-visual-story/,#javascript #html #css #nodejs,"Presentation, Workshop, Repo or Tip Sheet",A step-by-step guide to publishing a standalone story from a dataset. This tutorial will show you how journalists at America’s top news organizations escape rigid content-management systems to publish data-driven stories on deadline.
3/14/2024 21:32,2024,Bringing Data Journalism to the Sports Section,"Matt Waite, Derek Willis",https://github.com/dwillis/nicar24-sports,#rstats #sports,"Presentation, Workshop, Repo or Tip Sheet",
